Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
sec11,0.0025,0,1.7347E-18,0,0,0,0.01398,6.99E-07,-2.454E-24,-9.8159E-24,3.7863E-07,1.227E-23,3.7863E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec11.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec11.STL,,soliddisk-42,Coordinate System11,Axis_joint11,joint11,revolute,0.016,-0.005,0,0,0,0,base_link,1,0,0,100,0,-1.571,1.571,,,,,,,,
sec12,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,2.26669732393498E-40,2.25559263306684E-40,3.7862736460452E-07,1.22698457528699E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec12.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec12.STL,,soliddisk-43,Coordinate System12,Axis_joint12,joint12,fixed,0.01,0,0,0,0,0,sec11,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec13,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,-2.45396915057399E-24,-9.81587660229591E-24,3.7862736460452E-07,1.22698457528699E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec13.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec13.STL,,soliddisk-44,Coordinate System13,Axis_joint13,joint13,fixed,0.01,0,0,0,0,0,sec12,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec14,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,-2.45396915057399E-24,-9.81587660229591E-24,3.7862736460452E-07,1.22698457528699E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec14.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec14.STL,,soliddisk-45,Coordinate System14,Axis_joint14,joint14,fixed,0.01,0,0,0,0,0,sec13,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec15,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.99004365423729E-07,2.45396915057399E-24,9.81587660229591E-24,3.7862736460452E-07,1.22698457528699E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec15.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec15.STL,,soliddisk-46,Coordinate System15,Axis_joint15,joint15,fixed,0.01,0,0,0,0,0,sec14,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec16,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,7.98179605279416E-40,3.19271842111766E-39,3.7862736460452E-07,2.37728261461855E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec16.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec16.STL,,soliddisk-47,Coordinate System16,Axis_joint16,joint16,fixed,0.01,0,0,0,0,0,sec15,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec17,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,7.98179605279416E-40,2.55417473689413E-39,3.7862736460452E-07,2.37728261461855E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec17.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec17.STL,,soliddisk-48,Coordinate System17,Axis_joint17,joint17,fixed,0.01,0,0,0,0,0,sec16,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec18,0.0025,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,7.98179605279416E-40,3.19271842111766E-39,3.7862736460452E-07,2.37728261461855E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec18.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec18.STL,,soliddisk-49,Coordinate System18,Axis_joint18,joint18,fixed,0.01,0,0,0,0,0,sec17,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec19,0.00249999999999999,0,1.73472347597681E-18,0,0,0,0.0139800873084746,6.9900436542373E-07,7.98179605279416E-40,3.19271842111766E-39,3.7862736460452E-07,2.37728261461855E-23,3.7862736460452E-07,0,0,0,0,0,0,package://fullurdf3/meshes/sec19.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec19.STL,,soliddisk-50,Coordinate System19,Axis_joint19,joint19,fixed,0.01,0,0,0,0,0,sec18,0,0,0,100,0,-1.571,1.571,,,,,,,,
sec20,0.0098619076228091,1.73472347597681E-18,1.73472347597681E-18,0,0,0,0.0573263557938968,2.91661427121802E-06,5.45147507989434E-23,1.07644495091354E-22,2.24174718695487E-06,1.58102121374392E-22,2.24174718695487E-06,0,0,0,0,0,0,package://fullurdf3/meshes/sec20.STL,0.537254901960784,0.349019607843137,0.337254901960784,1,0,0,0,0,0,0,package://fullurdf3/meshes/sec20.STL,,soliddisk-51;ballfeet-3,Coordinate System20,Axis_joint20,joint20,fixed,0.01,0,0,0,0,0,sec19,0,0,0,100,0,-1.571,1.571,,,,,,,,
